0 367
1 1427
2 1995
3 493
4 1226
5 448
6 538
7 1425
8 -1699
9 1414
10 739
11 1911
12 1366
13 0
14 -563
15 0
16 470
17 650
18 1273
19 132
20 1526
21 1263
22 1248
23 1637
24 377
25 1418
26 1548
27 -1604
28 290
29 -1418
30 -609
31 1333
32 1682
33 1706
34 1987
35 1574
36 1761
37 533
38 1789
39 844
40 699
41 1352
42 1020
43 1583
44 158
45 0
46 -585
47 0
48 400
49 751
50 -737
51 1732
52 473
53 -1573
54 1234
55 0
56 1838
57 1461
58 1993
59 581
60 1224
61 1675
62 -399
63 539
64 -239
65 1930
66 767
67 1417
68 1004
69 652
70 -688
71 1551
72 1162
73 1428
74 1355
75 -658
76 -921
77 -275
78 1318
79 1515
80 470
81 1531
82 1098
83 0
84 622
85 1210
86 1002
87 -728
88 996
89 215
90 999
91 1263
92 419
93 738
94 1445
95 -564
96 1600
97 1550
98 1405
99 1884
